"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"7/26/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($145)"
"7/19/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($86.85)"
"7/19/2024","WITHDRAWAL TO GUILT FREE SPENDING","Capital One - via Direct Web API","Capital One Checking","Transfers","No","No","($313.56)"
"7/19/2024","WITHDRAWAL TO EDUCATION","Capital One - via Direct Web API","Capital One Checking","Transfers","No","No","($1000)"
"7/19/2024","DEPOSIT FROM CHECKINGS","Capital One - via Direct Web API","Education","Transfers","No","No","$1000"
"7/19/2024","DEPOSIT FROM CHECKINGS","Capital One - via Direct Web API","Guilt Free Spending","Transfers","No","No","$313.56"
"7/18/2024","DIRECT DEPOSIT COMMONWEALTHUM PAYROLL","Fidelity Investments","Cash Management","Paycheck/Salary","No","No","$1716.19"
"7/18/2024","MONEY LINE PAID EFT FUNDS PAID WEB","Fidelity Investments","Cash Management","Transfers","No","No","($1313.56)"
"7/18/2024","FID BKG SVC LLC","Capital One - via Direct Web API","Capital One Checking","Investment Savings","No","No","$1313.56"
"7/16/2024","DIRECT DEPOSIT VENMO CASHOUT","Fidelity Investments","Cash Management","Income","No","No","$250"
"7/15/2024","MONEY LINE PAID EFT FUNDS PAID WEB","Fidelity Investments","Cash Management","Transfers","No","No","($16.67)"
"7/15/2024","FID BKG SVC LLC","Capital One - via Direct Web API","Capital One Checking","Investment Savings","No","No","$16.67"
"7/14/2024","ATM WITHDRAWAL","Capital One - via Direct Web API","Capital One Checking","Cash/ATM","No","No","($16.67)"
"7/10/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($193.98)"
"7/8/2024","DIRECT DEBIT VENMO PAYMENT","Fidelity Investments","Cash Management","Online Payment","No","No","($13)"
"7/8/2024","DIRECT DEBIT CAPITAL ONE TRANSFER","Fidelity Investments","Cash Management","Transfers","No","No","($514.86)"
"7/5/2024","DIRECT DEPOSIT VENMO CASHOUT","Fidelity Investments","Cash Management","Income","No","No","$15.5"
"7/5/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$514.86"
"7/3/2024","DIRECT DEPOSIT COMMONWEALTHUM PAYROLL","Fidelity Investments","Cash Management","Paycheck/Salary","No","No","$1716.2"
"6/30/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Capital One Checking","Interest Income","No","No","$0.01"
"6/30/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Education","Interest Income","No","No","$52.82"
"6/30/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Guilt Free Spending","Interest Income","No","No","$0.62"
"6/30/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Emergency Fund","Interest Income","No","No","$3.5"
"6/28/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($44.99)"
"6/26/2024","PY POKEMOTO","Capital One - via Direct Web API","Capital One Checking","Fast Food & Convenience","No","No","($8.01)"
"6/26/2024","AMERICAN EAGLE OUTFITTERS","Capital One - via Direct Web API","Capital One Checking","Clothing","No","No","($24.95)"
"6/25/2024","DEPOSIT FROM GUILT FREE SPENDING","Capital One - via Direct Web API","Capital One Checking","Income","No","No","$67.04"
"6/25/2024","WITHDRAWAL TO GUILT FREE SPENDING","Capital One - via Direct Web API","Capital One Checking","Transfers","No","No","($134.08)"
"6/25/2024","WITHDRAWAL TO CHECKINGS","Capital One - via Direct Web API","Guilt Free Spending","Transfers","No","No","($67.04)"
"6/25/2024","DEPOSIT FROM CHECKINGS","Capital One - via Direct Web API","Guilt Free Spending","Transfers","No","No","$134.08"
"6/24/2024","ATM DEPOSIT CASH","Capital One - via Direct Web API","Capital One Checking","Cash/ATM","No","No","$100"
"6/10/2024","NATL FIN SVC LLC","Capital One - via Direct Web API","Capital One Checking","Income","No","No","($0.21)"
"6/10/2024","NATL FIN SVC LLC","Capital One - via Direct Web API","Capital One Checking","Income","No","No","$0.02"
"6/10/2024","NATL FIN SVC LLC","Capital One - via Direct Web API","Capital One Checking","Income","No","No","$0.19"
"6/10/2024","BANK OF AMERICA N.A","Capital One - via Direct Web API","Capital One Checking","Income","No","No","$109.6"
"6/10/2024","UMB NA","Capital One - via Direct Web API","Guilt Free Spending","Income","No","No","$100"
"6/10/2024","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Cash Management","Investment Savings","No","No","$35"
"6/7/2024","DIRECT DEBIT CAPITAL ONE TRANSFER","Fidelity Investments","Cash Management","Transfers","No","No","($686)"
"6/6/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$686"
"6/6/2024","DIRECT DEPOSIT COMMONWEALTHUM PAYROLL","Fidelity Investments","Cash Management","Paycheck/Salary","No","No","$1716.19"
"6/5/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($325.58)"
"6/3/2024","DIRECT DEPOSIT VENMO CASHOUT","Fidelity Investments","Cash Management","Income","No","No","$78.5"
"6/3/2024","DIRECT DEPOSIT VENMO CASHOUT","Fidelity Investments","Cash Management","Income","No","No","$18.5"
"5/31/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Guilt Free Spending","Interest Income","No","No","$0.01"
"5/31/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Emergency Fund","Interest Income","No","No","$3.61"
"5/31/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Education","Interest Income","No","No","$50.41"
"5/31/2024","DIRECT DEBIT CAPITAL ONE TRANSFER","Fidelity Investments","Cash Management","Transfers","No","No","($100)"
"5/30/2024","UMB NA","Capital One - via Direct Web API","Guilt Free Spending","Income","No","No","$100"
"5/28/2024","DIRECT DEPOSIT VENMO CASHOUT","Fidelity Investments","Cash Management","Income","No","No","$37.3"
"5/24/2024","DIRECT DEBIT CAPITAL ONE TRANSFER","Fidelity Investments","Cash Management","Transfers","No","No","($582.8)"
"5/23/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$582.8"
"5/23/2024","DIRECT DEPOSIT COMMONWEALTHUM PAYROLL","Fidelity Investments","Cash Management","Paycheck/Salary","No","No","$1457.43"
"5/20/2024","DIRECT DEBIT VENMO PAYMENT","Fidelity Investments","Cash Management","Online Payment","No","No","($18)"
"5/15/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($9.98)"
"5/14/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($116.09)"
"5/13/2024","DIRECT DEBIT VENMO PAYMENT","Fidelity Investments","Cash Management","Online Payment","No","No","($18)"
"5/10/2024","DIRECT DEBIT CAPITAL ONE TRANSFER","Fidelity Investments","Cash Management","Transfers","No","No","($516.65)"
"5/9/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$516.65"
"5/9/2024","DEPOSIT RECEIVED CHECK RECEIVED MOBILE DEPOSIT","Fidelity Investments","Cash Management","Checks","No","No","$200"
"5/9/2024","DIRECT DEPOSIT COMMONWEALTHUM PAYROLL","Fidelity Investments","Cash Management","Paycheck/Salary","No","No","$1033.3"
"5/7/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($37.19)"
"5/6/2024","DIRECT DEBIT VENMO PAYMENT","Fidelity Investments","Cash Management","Online Payment","No","No","($16)"
"4/30/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Emergency Fund","Interest Income","No","No","$3.51"
"4/30/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Education","Interest Income","No","No","$45.02"
"4/25/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$499.99"
"4/11/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$415.58"
"4/2/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$1000"
"3/31/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Emergency Fund","Interest Income","No","No","$3.66"
"3/31/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Education","Interest Income","No","No","$41"
"1/5/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($30)"